Quel est le nouveau domaine de la guerre officiellement identifié par l'OTAN dans le NWCC 2021 ?,Le domaine cognitif (ou humain).
Concept : Prebunking,Définition : Technique d'inoculation consistant à exposer les citoyens aux mécanismes de manipulation avant qu'ils ne soient attaqués.
"Quel paradoxe survient lorsqu'une démocratie utilise la censure pour se protéger, devenant similaire aux régimes qu'elle combat ?",Le paradoxe démocratique (ou paradoxe de la sécurité).
Quelle agence française est chargée de détecter les ingérences numériques étrangères ?,VIGINUM.
Sur quoi se concentre l'agence VIGINUM pour éviter la censure d'opinion ?,Les comportements inauthentiques coordonnés (méthode plutôt que contenu).
L'existence de l'IA permet aux coupables de nier des preuves réelles en criant au deepfake ; c'est la _____.,Prime au menteur (liar's dividend).
Qu'est-ce que le « Lawfare » ?,L'instrumentalisation du droit international pour entraver l'action d'un adversaire.
Quel incident de 2026 à Vilnius illustre que l'impact cognitif dure bien plus longtemps que l'incident physique ?,L'alerte au drone près de la frontière biélorusse.
"Dans le modèle OCEAN (Big Data), que signifie la lettre 'N' ?",Névrosisme (propension à l'anxiété ou à la peur).
Quel researcher a théorisé l'asymétrie d'information via le modèle des 'tacots' (Market for Lemons) ?,George Akerlof.
Concept : Maskirovka,Définition : Doctrine soviétique/russe de camouflage et de déception psychologique permanente.
Quel service de l'UE cible spécifiquement les menaces FIMI (Foreign Information Manipulation and Interference) ?,Le Bouclier de la Démocratie Européenne (European Democracy Shield).
Quelle technologie utilise des courants électriques très faibles pour modifier l'activité cérébrale ?,La stimulation transcrânienne à courant continu (tDCS).
Les interfaces cerveau-machine sont désignées par l'acronyme anglais _____.,BCI (Brain-Computer Interfaces).
Quel concept de l'école française de guerre économique consiste à retourner la société civile contre son propre État ?,L'encerclement cognitif.
Qu'est-ce qu'un « idiot utile » dans le contexte de la guerre narrative ?,Une personne agissant de bonne foi mais dont l'action sert les intérêts stratégiques d'un agresseur étranger.
Quel vide juridique la Charte des Nations Unies présente-t-elle face à la guerre cognitive ?,Elle ne reconnaît que la force cinétique (physique) et non la violence immatérielle.
Concept : Rhinocéros Gris,Définition : Une menace évidente et probable que l'on choisit d'ignorer jusqu'à l'impact.
Pourquoi le fact-checking est-il jugé insuffisant en temps de guerre cognitive ?,Il laisse l'initiative à l'attaquant et intervient trop tard par rapport à la viralité du mensonge.
Quel rapport de 2024 définit la sécurité comme une responsabilité partagée par toute la société européenne ?,Le rapport Niinistö.
Le concept de « médiarchie » d'Yves Citton suggère que les médias ne sont pas seulement des outils mais des _____.,Infrastructures gouvernant notre attention.
Quel trait de personnalité rend un individu plus enclin à croire aux théories du complot selon l'APA ?,Le sentiment d'antagonisme ou des niveaux élevés de paranoïa.
Quel pays a utilisé l'accès aux données biométriques du Zimbabwe pour entraîner ses IA de reconnaissance faciale ?,La Chine (via l'entreprise CloudWalk).
"Dans la guerre hybride, le but n'est plus la capitulation militaire mais la _____.",Neutralisation systémique.
"Quel acronyme désigne la convergence des Nanotechnologies, Biotechnologies, Informatique et sciences Cognitives ?",NBIC (ou NBSI).
Quelle est la différence fondamentale entre la guerre de l'information et la guerre cognitive ?,La guerre de l'information cible les flux de données ; la guerre cognitive cible la biologie du cerveau.
Quel terme désigne l'usage de la « lance à incendie du mensonge » ?,Firehose of falsehood.
Pourquoi l'agresseur sature-t-il l'espace médiatique de théories contradictoires ?,Pour détruire la capacité mentale des citoyens à distinguer le vrai du faux.
Quel est le but des « neuro-armes » de type Neurostrike ?,Utiliser des énergies dirigées pour provoquer des nausées ou une panique physiologique incontrôlable.
Comment appelle-t-on le droit fondamental à garder ses pensées privées face aux technologies ?,La liberté cognitive (ou confidentialité mentale).
"Dans le cadre Cynefin, la guerre cognitive cherche à pousser un environnement compliqué vers le _____.",Domaine chaotique.
Quel est le geste de sécurité nationale le plus important suggéré pour le citoyen de demain ?,L'hygiène cognitive (verrouiller son attention et trier ses biais).
La « Narrative Kill Chain » est une séquence conçue pour produire des _____.,"Effets cognitifs prévisibles (fatigue émotionnelle, désengagement)."
Quel levier économique permet de transformer une ressource critique en moyen de pression politique ?,La militarisation des chaînes d'approvisionnement (ex: terres rares).
